Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
CFB2140,0,0.0172882490875299,0.00912306637536255,0.118483619116177,0.00317062206503223,0.0459843404443977,0,0.00381293760049089,0.0606149416510978,0,0.0602826028970973,0.0227627605022595,0.0994067451271195,0,0,0.0372280175234801,0,0,0.0289546948682913,0,0,0.492887402741664,0,0.924069550824447,0.446373397608913
CFB2142,0.00559491939511586,0.0171603120763205,0.010756047082964,0.04950626912255,0.0337843545372471,0.0320967998098919,0.00611862898227818,0,0.0347879115099105,0,0.0472246702345873,0.00291943175502651,0.0421665881892036,0,0,0.0315008771531261,0,0,0.0317305643757007,0,0,0.654652625776078,0,0.934203447351393,0.374910143599281
CFB2146,0.0250941121453445,0.0244466848283848,0.00316699950560771,0.0886037204325233,0.0265763647244216,0.0202472745979099,0,0,0.0626826060559411,0,0.0711939937647696,0.0169518664269462,0.00349213289639403,0,0,0.0108896697445161,0,0,0.0314398174868005,0,0,0.615214757390441,0,0.950880434648429,0.355619489101117
CFB2149,0,0.0339868104609971,0.00708366734999342,0.151965171758735,0.00492144745471471,0.0131702168136218,0,0,0.0661055062191387,0,0.0637633894386923,0,0.0688285590264091,0,0,0.0169089903534077,0,0,0.0239797337271044,0,0,0.549286507397186,0,0.952119806478268,0.374355824165931
CFB2152,0.0128194566577917,0.0149813111884942,0.00660587703263894,0.0553938528024688,0.0376048789045272,0.0251997678629914,0,0,0.0501090953750517,0,0.0398808087829385,0,0.0365435818067742,0,0,0.0319534901070316,0,0,0.0323842985343978,0,0,0.656523580944894,0,0.917946245256764,0.409827274063773
CFB2159,0.0543959373558436,0.016514411498382,0.00854680747460349,0.0960011506931449,0.0138453317969504,0.0580487923721399,0,0,0.0561792703250877,0,0.0253949743802702,0.0169121941785267,0.0378179168659647,0,0,0.0235622597583377,0,0,0.0339844775578166,0,0,0.558796475742932,0,0.94844119329231,0.383639455254203
CFB2160,0.0142918083482921,0.0264529326491672,0.0177575385299405,0.0624913005629471,0.0272386842360242,0,0.0110480791911459,0,0.0417835230068329,0,0.0299337755780881,0,0.106022522854223,0,0,0.0450599074913402,0,0,0.0202263951677949,0,0,0.597693532384204,0,0.951445903285204,0.346450345392375
CFB2163,0.0269147304465394,0.0130744466883267,0.00933573036199728,0.0490565304913596,0.0152569434287368,0.0351720127294705,0,0,0.0549854666937522,0,0.0647150498878324,0,0.0617049025811686,0.00804600561815076,0,0.0250513730797977,0,0,0.0136186979414306,0,0,0.623068110051437,0,0.951678440135456,0.342293932443419
CFB2166,0.0382290343467033,0.0124315267609429,0.00979365312116223,0.064376987976259,0.0505905703311767,0.0196526557273534,0,0,0.0556831456065718,0,0.0384833265839026,0.00654842213874959,0.0264523987597359,0,0,0.0118366058735008,0,0,0.0216867397406049,0,0,0.644234933033337,0,0.947017032584144,0.350526037287937
CFB2169,0.0191409888814127,0.00346448022241225,0.00773554143333478,0.0173920690901704,0.0665714286139,0,0.00739999281450433,0,0.0531606665924035,0,0.0423343802679925,0,0,0.00969648285447351,0,0.00812781456708265,0,0.00133722652114142,0.0261698278543537,0,0,0.737469100286818,0,0.920295740141315,0.400146744340792
CFB2171,0.0127062142741901,0.0264792575480923,0.0125554992728234,0.047638046947629,0.0255931997320782,0.0334723248479388,0,0,0.0572425986163079,0,0.035259288263104,0.0048845387730915,0.0820432727859417,0,0,0.0369874289120212,0,0,0.0280482492989004,0,0,0.597090080727881,0,0.934047337745773,0.388254171231328
CFB2186,0.00978392982659885,0.0217419200571624,0.00391142590932451,0.147885221843348,0,0.0473710924678806,0,0,0.0593796071182413,0,0.0230113134806287,0.0243842438155006,0.0639272591811437,0,0,0.0248357318926645,0,0,0.0332072271481438,0,0,0.540561027259363,0,0.947276203835401,0.389086354654374
